date,counts
2020-03-21,538
2020-03-17,527
2020-03-18,490
2020-03-14,488
2020-04-02,398
2020-03-12,373
2020-03-16,372
2020-03-19,371
2020-03-13,342
2020-03-20,329
2020-03-26,313
2020-04-03,304
2020-03-22,303
2020-03-27,300
2020-03-24,296
2020-03-25,289
2020-03-15,284
2020-04-04,244
2020-03-23,238
2020-03-31,237
2020-04-01,233
2020-04-05,223
2020-03-11,211
2020-03-30,198
2020-03-28,188
2020-03-29,170
2020-03-10,94
2020-03-09,68
2020-03-08,64
2020-03-05,57
2020-03-04,53
2020-03-06,51
2020-03-07,48
2020-03-03,30
2020-03-02,18
2020-01-29,16
2020-02-18,16
2020-01-30,16
2020-02-06,16
2020-02-03,16
2020-02-24,14
2020-01-16,14
2020-02-11,13
2020-02-04,13
2020-02-27,13
2020-02-28,12
2020-01-03,11
2020-01-10,11
2020-03-01,11
2020-02-26,11
2020-01-15,11
2020-02-01,11
2020-01-21,11
2020-02-23,10
2020-02-05,10
2020-01-06,10
2020-01-08,9
2020-01-14,9
2020-02-19,9
2020-01-09,9
2020-02-02,9
2020-02-20,8
2020-01-11,8
2020-01-26,8
2020-02-10,8
2020-01-20,8
2020-02-25,8
2020-02-17,8
2020-01-23,8
2020-01-28,8
2020-02-09,8
2020-01-05,7
2020-02-12,7
2020-01-12,7
2020-01-19,7
2020-01-07,7
2020-02-13,7
2020-02-21,7
2020-01-31,7
2020-01-13,7
2020-02-22,7
2020-01-17,7
2020-01-22,7
2020-02-15,7
2020-01-25,6
2020-02-14,6
2020-01-24,5
2020-02-07,5
2020-01-02,5
2020-01-18,4
2020-01-27,4
2020-01-01,4
2020-01-04,4
2020-02-29,4
2020-02-08,4
2020-02-16,3
2020-04-06,2
